ID,Title,Type,Date,Topics,ProductionYear
ld1-1643381040022-1643381068115-0,Governor for Steam Engines,Smithsonian American Art Museum,1870,Patent model,1870.0
ld1-1643381040022-1643381068119-0,Mousetrap,Smithsonian American Art Museum,1870,Patent model,1870.0
ld1-1643381040022-1643381068106-0,Electrical Timer Bell,Smithsonian American Art Museum,1860,Patent model,1860.0
ld1-1643381040022-1643381068107-0,Water Feed for Boilers,Smithsonian American Art Museum,1880,Patent model,1880.0
ld1-1643381040022-1643381068114-1,Windmill,Smithsonian American Art Museum,1880,Patent model,1880.0
ld1-1643381040022-1643381068118-0,Fence Fabricating Machine,Smithsonian American Art Museum,1880,Patent model,1880.0
ld1-1643381040022-1643381068107-1,Improved Carriage Harness,Smithsonian American Art Museum,1860,Patent model,1860.0
ld1-1643381040022-1643381068116-0,Extension Ladder,Smithsonian American Art Museum,1870,Patent model,1870.0
ld1-1643381040022-1643381068698-1,Stable at Cuenca,Smithsonian American Art Museum,1900,"Animals, Farmers, Architecture, Donkey, Farms, Occupations, Horses, Figure male, Stable",1900.0
ld1-1643381040022-1643381068766-1,Spoon,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059167-2,Frames,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059187-1,Column,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059186-2,Column,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059186-1,Column,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381068767-0,Spoon,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059187-0,Column,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059183-1,Saddle,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381068767-1,Spoon,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059190-0,Harp,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059210-1,Trumpet,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059215-1,Spoon,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059182-0,Showcase,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381069065-0,"Untitled (""Tramp Art"" Box)",Smithsonian American Art Museum,"1900s, 1950",Containers,1900.0
ld1-1643381040022-1643381069070-1,Untitled (Cross),Smithsonian American Art Museum,2010,"Religion, Crucifixion, Bible, N.T.",2010.0
ld1-1643381040022-1643381055852-0,(Untitled),Smithsonian American Art Museum,,,
ld1-1643381040022-1643381068105-0,Ship Steering Apparatus,Smithsonian American Art Museum,1860,"Boats and boating, Architecture, Patent model, Ships",1860.0
ld1-1643381040022-1643381068109-0,Toy Bicycle Rider,Smithsonian American Art Museum,1860,"Toys, Patent model, Bicycles",1860.0
ld1-1643381040022-1643381068103-0,Churn,Smithsonian American Art Museum,1880,"Patent model, Tools, Churn",1880.0
ld1-1643381040022-1643381068105-1,Loom for Weaving Bonnet Braid,Smithsonian American Art Museum,1860,"Patent model, Loom",1860.0
ld1-1643381040022-1643381068101-0,Cooking Stove,Smithsonian American Art Museum,1840,"Cooking, Patent model, Stove, Occupations, Domestic, Furnishings",1840.0
ld1-1643381040022-1643381055098-1,Untitled,Smithsonian American Art Museum,"1930s, 1850","Trees, Landscapes",1930.0
ld1-1643381040022-1643381068103-1,Vegetable Slicer,Smithsonian American Art Museum,1870,"Patent model, Slicer, Tools",1870.0
ld1-1643381040022-1643381068104-0,Tobacco Cutting Machine,Smithsonian American Art Museum,1870,"Architecture, Patent model, Machinery",1870.0
ld1-1643381040022-1643381068102-0,Washing Machine,Smithsonian American Art Museum,1860,"Patent model, Washing machine, Furnishings",1860.0
ld1-1643381040022-1643381068112-0,Road Wagon,Smithsonian American Art Museum,1870,"Patent model, Tools, Wagon",1870.0
