Year,Theme,Count
1900,A Christmas Carol,1
1900,Abbeys,1
1900,Academic costume,1
1900,Academy of Music,1
1900,Accidents,4
1900,Acrobats,1
1900,Activism,5
1900,Actors and actresses,2
1900,Adam (Biblical figure),1
1900,Administrators,5
1900,Admiral,1
1900,Aeronautics,1
1900,Afternoon,2
1900,Agoseris graminifolia,1
1900,Agriculture,2
1900,Agriculturists,9
1900,Air,1
1900,Air pilots,2
1900,Airfield,1
1900,Airplanes,4
1900,Allegory,34
1900,Alligators,1
1900,Allium cernuum,1
1900,Allium sibiricum,1
1900,Alpine fernlife,1
1900,Alpine monkey flower,1
1900,Alpine ragwort,1
1900,Ambassador,2
1900,American Civil War (1861-1865),17
1900,American Revolution (1775-1783),4
1900,American twinflower,1
1900,Ammunition,1
1900,Amphibians,2
1900,Amsterdam,1
1900,Amusements,28
1900,Anemone,1
1900,Anemone canadensis,1
1900,Anemone drummondii,1
1900,Angels,4
1900,Animal husbandry,2
1900,Animals,197
1900,Anthropology,1
1900,Apartment,1
1900,Apple,1
1900,Apron,1
1900,Aquilegia brevistyla,1
1900,Arcade,1
1900,Archery,2
1900,Architects,1
1900,Architecture,318
1900,Arenaria formosa,1
1900,Aristocracy (Social class),12
1900,Arm,4
1900,Army physician,1
1900,Army surgeon,1
1900,Arnica,1
1900,Arnica alpina,1
1900,Arnica latifolia,1
1900,Arnica louisiana,1
1900,Art,70
1900,Art building,2
1900,Art exhibition,1
1900,Art implements,1
1900,Art museum administrator,1
1900,Art museum trustee,1
1900,Art nouveau dress,1
1900,Art tool,3
1900,"Art, abstract",4
1900,Artist's brush,1
1900,Artist's effects,5
1900,Artists,22
1900,Artists' tools,1
1900,Arts & Culture,42
1900,Arts and sciences,14
1900,Artwork,3
1900,Aster englemann,1
1900,Astor,1
1900,Astronomers,1
1900,Athletes,1
1900,Athletics awards,1
1900,Aunt Charity,1
1900,Aurora,1
1900,Authors,6
1900,Autograph,1
1900,Automobiles,2
1900,Autumn,13
1900,Award,1
1900,Awnings,1
1900,Bacchanalia,1
1900,Bagpipe,1
1900,Ballet,1
1900,Bands (music),1
1900,Banking executive,1
1900,Banks and banking,1
1900,Banner,1
1900,Barberries,1
1900,Baseball,1
1900,Baskets,3
1900,Bass,1
1900,Bathroom,1
1900,Battlefield,1
1900,Bay,1
1900,Bay of Naples,1
1900,Beaches,6
1900,Beards,9
1900,Bears,4
1900,Beatrice,1
1900,Bed,1
1900,Bedroom,1
1900,Bell tower,1
1900,Bible,1
1900,"Bible, N.T.",15
1900,"Bible, O.T.",4
1900,Bicycles,1
1900,Bingen,1
1900,Binoculars,1
1900,Birch tree,3
1900,Bird's eye view,4
1900,Birds,47
1900,Bladder campion,1
1900,Blind person,1
1900,Blue Larkspur,1
1900,Blue jay,1
1900,Board of Education,2
1900,Boathouse,1
1900,Boating,2
1900,Boats and boating,56
1900,Bone,1
1900,Books and reading,21
1900,Bordighera,1
1900,Botanical study,88
