Year,Theme
1900,Animals
1900,Farmers
1900,Architecture
1900,Donkey
1900,Farms
1900,Occupations
1900,Horses
1900,Figure male
1900,Stable
1900,Containers
1950,Containers
2010,Religion
2010,Crucifixion
2010,"Bible, N.T."
1930,Trees
1930,Landscapes
1900,Pegasus
1900,Mythology
1900,Skull
1900,Fragment
1980,Skull
1980,Fragment
1900,Figure female
1900,Nudity
1900,Mythology
1900,Diana (Roman deity)
1930,Fear
1930,Passion
1930,Figure group
1930,Allegory
1920,Art
1920,Painters
1920,Architecture
1920,Occupations
1920,Men
1920,Portraits
1920,Cox
1930,Rites and ceremonies
1930,Shrine
1930,Night
1930,Monuments
1930,Figure group
1930,Religion
1930,Cityscapes
1930,Time
1930,Children
1930,Streets
1910,Flower arranging
1910,Architecture
1910,Figure female
1910,Occupations
1910,Domestic
1910,Furnishings
1910,Dwellings
1910,Rites and ceremonies
1910,New Years
1910,Holidays
1910,Amusements
1910,Recreation
1910,Figure male
1910,Smoking
1900,Lazarus
1900,Figure group
1900,Religion
1900,"Bible, N.T."
1910,Tangier
1910,Architecture
1910,Cityscapes
1910,Streets
1900,Landscapes
1900,Architecture
1900,Figure group
1900,Family
1900,Children
1900,Siblings
1910,Men
1910,Portraits
1910,Children
1910,Women
1910,Amusements
1910,Grooming
1910,Recreation
1910,Portraits
1910,Cooking
1910,Figure female
1910,Occupations
1910,Domestic
1910,Pea
1910,Vegetable
1910,Women
1910,Portraits
1910,Women
1910,Portraits
1910,Moon
1910,Outer space
1910,Waterscapes
1910,Sea
1900,Women
1900,Portraits
1910,Figure female
1990,Animals
1990,Muskrat
1900,Animals
1900,Dogs
1900,Dalmatian dog
1970,Animals
1970,Dogs
1970,Dalmatian dog
1900,Music
1900,Clothing and dress
1900,Figure male
1900,Entertainers
1900,Voice
1900,"Art, abstract"
1900,Art
1970,"Art, abstract"
1970,Art
1900,"Art, abstract"
1900,Art
1970,"Art, abstract"
1970,Art
1910,Reptile
1910,Animals
1910,Foliage
1910,Snakes
1900,Reptile
1900,Animals
1900,Figure female
1900,Nudity
1900,Snakes
1980,Reptile
1980,Animals
1980,Figure female
