Theme,Count
Landscapes,1452
Architecture,1244
Figure group,841
Portraits,781
Botanical study,714
Animals,705
Occupations,613
Men,594
Figure female,465
Cityscapes,426
Clothing and dress,413
Women,402
Domestic,390
Figure male,361
Dress accessories,293
Religion,267
Trees,262
Nudity,241
Children,227
Boats and boating,222
Art,209
Waterscapes,205
Rivers,202
Dwellings,200
Recreation,193
Mountains,187
Detail,185
Birds,171
Horses,164
Weather,148
Furnishings,144
Government,143
Military,139
Time,137
Farms,136
Hats,133
Flowers,132
Allegory,131
Seasons,127
History,127
Arts & Culture,126
Vehicles,123
State of being,119
"New Deal, 1933-1939",116
Streets,114
Industrialization,114
Church buildings,108
Water,104
Entertainers,103
Amusements,99
Costume,95
Coasts,92
Graphic arts,91
Plants,90
Roads,90
Literature,90
Bridges,85
Commercial,84
Sport and play,82
Sculpture study,81
Monuments,77
Writers,75
Forests and forestry,73
"Art, abstract",73
"Bible, N.T.",73
Soldiers,71
Rocks,66
Female and child,66
Rites and ceremonies,64
Western,63
Chairs,63
Weapons,62
Japanese dress,60
Artists,60
Cattle,60
Fishes,59
Deserts,59
Dogs,57
Uniforms,56
Parks,56
Foliage,56
Family,54
Education and Scholarship,53
Design,52
Music,50
Fragment,50
WW I,49
"World War, 1914-1918",49
Presidents,48
Older people,47
Night,47
Political,46
Plains,45
Outer space,45
Winter,45
Interior decoration,45
Military and Intelligence,43
Painters,42
Harbors,42
Politics,42
Books and reading,42
Cities and towns,42
Jesus Christ,42
Mythology,41
Jewelry,41
Public officers,40
Lakes,40
Cloud,40
Donkey,40
Tables,40
Fishing,40
Snow,39
Sailboats,39
Tools,38
Self-portraits,38
Fantasy,38
Facial Hair,37
Linens,37
Educators,37
Spring,36
Officer,36
Moon,35
Anatomical study,35
Legislators,35
Reptile,35
Law and Crime,34
Eyeglasses,34
Lawyers,34
Crafts,34
Evening,33
Musical instruments,33
Cart,33
Ruins,33
Swimming,33
Mustaches,32
Containers,32
Windows,32
Flags,31
Neckwear,30
Mural study,30
Dance,30
Neckties,30
Figure(s) in exterior,30
Death,30
Aristocracy (Social class),30
Vase,30
"Works Progress Administration, Federal Art Project",29
Ecology,29
Autumn,29
Sea,29
Social Welfare and Reform,29
Skeleton,29
Arts and sciences,29
Rowboat,28
Horsemen and horsewomen,28
Headgear,28
Angels,28
Snakes,28
Castles,28
Home Furnishings,27
Firearms,27
Sheep,27
Wharf,26
Governors,26
Insects,26
Fence,26
Gardens,26
"Civil War, 1861-1865",25
Congressmen,25
American Civil War (1861-1865),25
Carriage,25
Reformers,25
Rhine River,24
"Mary, Blessed Virgin, Saint",24
Fishing boat,24
Description and travel,24
Business and Finance,24
Canals,24
War,24
Beards,24
Printed Material,23
Cats,23
Automobiles,23
Mother and child,23
Summer,23
Beaches,23
Sculpture model,22
Farmhouse,22
Stairs,22
American Revolution (1775-1783),22
Eagles,22
Administrators,22
Sunset,21
Quality,21
Science and Technology,21
Evil,21
Fountain,21
Ducks,21
Umbrellas,21
Nature,21
Sculpture,20
Emblems,20
Disasters,20
Fans,20
Education,20
Toys,20
Harvesting,19
Vendor,19
Emotions,19
Signs and signboards,19
Mood (Psychology),19
Fruit,19
Wagon,19
Reading,19
Path,18
Pine tree,18
Wind,18
Dish,18
Statues,18
Valleys,18
Seating,18
Hand,17
Canyon,17
Holidays,17
Sport,17
Public Works of Art Project,17
Theater,17
Sleep,17
Farmers,17
Ships,16
Smoking,16
Store,16
Printmakers,16
Actors and actresses,16
Storms,16
Chicken,15
Natural Resource Occupations,15
Crucifixion,15
Agriculturists,15
Colonel,15
Roses,15
Journalism and Media,15
Science,15
Medicine,15
Food habits,15
Tower,15
Swords,15
Morning,14
Rain,14
Market,14
Memory,14
"Staffs (Sticks, canes, etc.)",14
Tattoo,14
Wall,14
Porch,14
Service,14
Nobel Prize,14
Conversation,14
Trains,14
Universities,13
Column,13
Movie actor,13
Cactus,13
Statesman,13
Waterfalls,13
Grooming,13
Iowa State Capitol,13
Goat,13
Explorers,13
"Bible, O.T.",13
Lumber,13
Gathering,13
Light,13
Physicians,12
Bird's eye view,12
Vegetable,12
Poets,12
Novelists,12
Classical dress,12
Justice,12
Activism,12
Seine River,12
Cannon,12
Authors,12
Meditation,11
Shepherd,11
Oak tree,11
Marshes,11
Textile worker,11
Glove,11
Shoes,11
Pilot,11
Factory,11
Male and female,11
Works Progress Administration,11
Cabinet member,11
Butterflies,11
Male and child,11
Fog,11
Voice,10
Florence,10
Palette,10
Sewing,10
Rabbits,10
Pince-nez,10
Winged being,10
Yucca,10
Airplanes,10
Strolling,10
Couch,10
Memorials,10
Machinery,10
Corn,10
Pig,10
Captain,10
Skyscraper,10
Cooking,10
Stream,10
Iowa,10
Geometric,9
Thames River,9
Festivals,9
Medicine and Health,9
Profile,9
Artwork,9
Canoes,9
Hunter,9
Saws,9
Sailing ships,9
Games,9
Versailles,9
Social reformer,9
Scarf,9
Teepee,9
Judges,9
Lily,9
Temple,9
Civilian awards,9
Senators,9
Brittany,9
Businessperson,9
Bowtie,9
Vice-Presidents,9
Mining,9
Saints,9
Union Army,9
Tangier,8
Stable,8
Caterpillars,8
Flute,8
Tents,8
Inventors,8
Civil rights activist,8
Roof,8
Laundry,8
Peasant,8
Symbols & Motifs,8
Islands,8
Apartment,8
Kensington,8
Hotel,8
Lighthouses,8
Cross,8
Magi,8
Gondola,8
Gate,8
Leaves,8
Diplomacy,8
Diplomats,8
Art implements,8
Museums,8
Shield,8
Cemetery,8
Gravestone,8
Rancher,8
Historians,8
Mill,8
Circus,8
Homage,8
Shipwreck,8
Saint Goarshausen,7
Dolls,7
US Supreme Court Justice,7
Diseases,7
Hair ornament,7
Spear,7
Bears,7
Sailor,7
Cedar tree,7
Star,7
Law,7
Smithsonian Institution,7
University administrator,7
Eye wear,7
Scientists,7
Amphibians,7
Frogs,7
Steamer,7
Spanish dress,7
Drafting & Writing Implements,7
Clocks and watches,7
Musicians,7
Peacock,7
Labor unions,7
Notre Dame,7
Willow tree,7
Yellowstone National Park,7
Madeleine,7
Siblings,7
Sculptors,7
Gulls,7
Journalism,7
Arm,7
Clergy,7
Courthouse,7
Character,7
Liberty,7
Ipswich,7
Power lines,7
Sitka,6
Stage actor,6
Monsters,6
Monkeys,6
U. S. Capitol,6
Transportation,6
Potters,6
Sports,6
Buffaloes,6
Flamingo,6
Flight of Jesus Christ into Egypt,6
Construction,6
Restaurant,6
Turtles,6
Sorrow,6
Swan,6
Grand Canyon,6
Evening primrose,6
Foodstuff,6
Union,6
Rosenwald Museum,6
Newspaper publisher,6
Tavern,6
Fire,6
Weaving,6
Parthenon,6
Presidential candidate,6
Water carrier,6
Dawn,6
Accidents,6
Place de la Concorde,6
Chain,6
Face,6
Paradise Valley,6
Art tool,6
Penstemon,6
Windmill,6
Guitar,6
Cypress tree,6
Performing arts awards,6
Schools,6
Sowing,6
Policeman,6
Models (representations),6
Azaleas,6
Exposition,6
Ladder,6
Tomb,6
Boating,6
Nymph,6
College administrator,6
Outerwear,6
Palm tree,6
Editors,6
Pens,6
Estes Park,6
Noon,5
Shakespeare,5
Triumph,5
Christmas,5
Railroad yard,5
Yucca tree,5
Greenwich,5
Business executive,5
Friendship,5
Suffragist,5
Animal husbandry,5
Last Judgment,5
Grasses,5
State Supreme Court Justice,5
Legal writer,5
Adobe,5
Disciple,5
