GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED
175685852,20060107,200601,2006,2006.0192,OPP,PROTESTER,,,,,,OPP,,,USA,UNITED STATES,USA,,,,,,,,0,140,140,14,3,-6.5,2,1,1,5.34682080924856,2.0,"Kansas, United States",US,USKS,38.5111,-96.8005,0.0,3.0,"Sago, West Virginia, United States",US,USWV,38.9143,-80.2301,1555552.0,2.0,"West Virginia, United States",US,USWV,38.468,-80.9696,0.0,20130203
175685853,20060107,200601,2006,2006.0192,OPP,PROTESTER,,,,,,OPP,,,USA,UNITED STATES,USA,,,,,,,,0,140,140,14,3,-6.5,1,1,1,5.34682080924856,2.0,"Kansas, United States",US,USKS,38.5111,-96.8005,0.0,2.0,"West Virginia, United States",US,USWV,38.468,-80.9696,0.0,2.0,"Missouri, United States",US,USMO,38.4623,-92.302,0.0,20130203
175685854,20060107,200601,2006,2006.0192,OPP,PROTESTER,,,,,,OPP,,,USA,UNITED STATES,USA,,,,,,,,0,140,140,14,3,-6.5,1,1,1,5.34682080924856,2.0,"West Virginia, United States",US,USWV,38.468,-80.9696,0.0,3.0,"Sago, West Virginia, United States",US,USWV,38.9143,-80.2301,1555552.0,2.0,"West Virginia, United States",US,USWV,38.468,-80.9696,0.0,20130203
175691424,20060108,200601,2006,2006.0219,LAB,WORKER,,,,,,LAB,,,USA,DETROIT,USA,,,,,,,,1,140,140,14,3,-6.5,9,1,1,4.16666666666667,1.0,United States,US,US,38.0,-97.0,0.0,1.0,United States,US,US,38.0,-97.0,0.0,1.0,United States,US,US,38.0,-97.0,0.0,20130203
175695581,20060109,200601,2006,2006.0247,CAN,OTTAWA,CAN,,,,,,,,NOR,NORWAY,NOR,,,,,,,,0,140,140,14,3,-6.5,1,1,1,9.77917981072555,3.0,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871.0,4.0,"Tel Aviv, Tel Aviv, Israel",IS,IS05,32.0667,34.7667,-781545.0,4.0,"Oslo, Oslo, Norway",NO,NO12,59.9167,10.75,-273837.0,20130203
175703873,20060109,200601,2006,2006.0247,USA,WASHINGTON,USA,,,,,,,,NOR,NORWEGIAN,NOR,,,,,,,,0,140,140,14,3,-6.5,5,1,1,9.77917981072555,3.0,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871.0,4.0,"Oslo, Oslo, Norway",NO,NO12,59.9167,10.75,-273837.0,4.0,"Tel Aviv, Tel Aviv, Israel",IS,IS05,32.0667,34.7667,-781545.0,20130203
175749840,20060113,200601,2006,2006.0356,USA,UNITED STATES,USA,,,,,,,,COP,POLICE,,,,,,COP,,,1,140,140,14,3,-6.5,2,2,2,9.66884874934334,1.0,United States,US,US,38.0,-97.0,0.0,1.0,Colombia,CO,CO,4.0,-72.0,0.0,1.0,United States,US,US,38.0,-97.0,0.0,20130203
175749841,20060113,200601,2006,2006.0356,USA,UNITED STATES,USA,,,,,,,,COP,POLICE,,,,,,COP,,,1,140,140,14,3,-6.5,2,2,2,9.66884874934334,1.0,United States,US,US,38.0,-97.0,0.0,1.0,United States,US,US,38.0,-97.0,0.0,1.0,United States,US,US,38.0,-97.0,0.0,20130203
175752298,20060114,200601,2006,2006.0384,COP,POLICE,,,,,,COP,,,USA,AMERICAN,USA,,,,,,,,0,140,140,14,3,-6.5,1,1,1,4.25925925925926,1.0,United States,US,US,38.0,-97.0,0.0,4.0,"Haji Habibullah, Kandahar, Afghanistan",AF,AF23,31.0417,66.3961,9165922.0,1.0,United States,US,US,38.0,-97.0,0.0,20130203
175755726,20060114,200601,2006,2006.0384,OPP,PROTESTER,,,,,,OPP,,,GOV,FIREFIGHTER,,,,,,GOV,,,0,140,140,14,3,-6.5,5,1,2,5.2935631168066,1.0,United States,US,US,38.0,-97.0,0.0,1.0,United States,US,US,38.0,-97.0,0.0,1.0,United States,US,US,38.0,-97.0,0.0,20130203
175786815,20060117,200601,2006,2006.0466,OPP,PROTESTER,,,,,,OPP,,,GOV,FIREFIGHTER,,,,,,GOV,,,0,140,140,14,3,-6.5,3,1,1,5.63380281690141,1.0,United States,US,US,38.0,-97.0,0.0,1.0,United States,US,US,38.0,-97.0,0.0,1.0,United States,US,US,38.0,-97.0,0.0,20130203
175813060,20060119,200601,2006,2006.0521,MYS,MALAYSIA,MYS,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,140,140,14,3,-6.5,1,1,1,7.32758620689655,3.0,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871.0,1.0,Malaysia,MY,MY,2.5,112.5,0.0,1.0,Malaysia,MY,MY,2.5,112.5,0.0,20130203
175845249,20060123,200601,2006,2006.063,COP,POLICE,,,,,,COP,,,OPP,PICKETER,,,,,,OPP,,,0,140,140,14,3,-6.5,5,1,1,3.65591397849462,2.0,"Alabama, United States",US,USAL,32.799,-86.8073,0.0,2.0,"Alabama, United States",US,USAL,32.799,-86.8073,0.0,2.0,"Alabama, United States",US,USAL,32.799,-86.8073,0.0,20130203
175845321,20060123,200601,2006,2006.063,COP,POLICE,,,,,,COP,,,USA,UNITED STATES,USA,,,,,,,,0,140,140,14,3,-6.5,4,1,1,3.65591397849462,2.0,"Alabama, United States",US,USAL,32.799,-86.8073,0.0,2.0,"Alabama, United States",US,USAL,32.799,-86.8073,0.0,2.0,"Alabama, United States",US,USAL,32.799,-86.8073,0.0,20130203
175881674,20060125,200601,2006,2006.0685,USA,WASHINGTON,USA,,,,,,,,USAGOV,THE WHITE HOUSE,USA,,,,,GOV,,,1,140,140,14,3,-6.5,2,1,1,4.06976744186047,3.0,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871.0,3.0,"White House, District of Columbia, United States",US,USDC,38.8951,-77.0364,531723.0,3.0,"White House, District of Columbia, United States",US,USDC,38.8951,-77.0364,531723.0,20130203
175919549,20060129,200601,2006,2006.0795,MEX,MEXICAN,MEX,,,,,,,,GOV,EMBASSY,,,,,,GOV,,,1,140,140,14,3,-6.5,7,1,1,3.44827586206897,1.0,United States,US,US,38.0,-97.0,0.0,1.0,United States,US,US,38.0,-97.0,0.0,1.0,United States,US,US,38.0,-97.0,0.0,20130203
