GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1078335712,20230101,202301,2023,2023.0027,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,140,140,14,3,-6.5,6,1,6,-1.99335548172757,2,"Mississippi, United States",US,USMS,32.7673,-89.6812,MS,0,,,,,,,2,"Mississippi, United States",US,USMS,32.7673,-89.6812,MS,20230101,https://www.wapt.com/article/black-lives-matter-groups-call-for-justice-in-deaths-of-two-men/42373928
1078392629,20230101,202301,2023,2023.0027,EDU,STUDENT,,,,,,EDU,,,,,,,,,,,,,0,140,140,14,3,-6.5,5,1,5,2.58656654151022,2,"Nebraska, United States",US,USNE,41.1289,-98.2883,NE,0,,,,,,,2,"Nebraska, United States",US,USNE,41.1289,-98.2883,NE,20230101,https://www.friendsjournal.org/how-friends-can-make-reparations-for-quaker-run-indigenous-boarding-schools/
1078485151,20230102,202301,2023,2023.0055,USA,UNITED STATES,USA,,,,,,,,REF,REFUGEE,,,,,,REF,,,0,140,140,14,3,-6.5,8,1,8,-6.09929078014184,3,"Denver, Colorado, United States",US,USCO,39.7392,-104.985,201738,3,"Denver, Colorado, United States",US,USCO,39.7392,-104.985,201738,3,"Denver, Colorado, United States",US,USCO,39.7392,-104.985,201738,20230102,https://www.gulftoday.ae/opinion/2023/01/02/america-is-facing-worst-refugee-crisis-at-its-border
1078517090,20220103,202201,2022,2022.0082,LAB,WORKER,,,,,,LAB,,,LKAGOV,SRI LANKA,LKA,,,,,GOV,,,0,140,140,14,3,-6.5,1,1,1,-5.16759776536312,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,4,"Colombo, Western, Sri Lanka",CE,CE36,6.93194,79.8478,-2214877,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,20230103,https://www.wsws.org/en/articles/2023/01/03/cdep-j03.html
1078517312,20230103,202301,2023,2023.0082,LAB,WORKER,,,,,,LAB,,,LKAGOV,SRI LANKA,LKA,,,,,GOV,,,0,140,140,14,3,-6.5,1,1,1,-5.16759776536312,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,4,"Colombo, Western, Sri Lanka",CE,CE36,6.93194,79.8478,-2214877,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,20230103,https://www.wsws.org/en/articles/2023/01/03/cdep-j03.html
1078553344,20230103,202301,2023,2023.0082,EDU,UNIVERSITY,,,,,,EDU,,,USA,UNITED STATES,USA,,,,,,,,0,140,140,14,3,-6.5,2,1,2,-3.71044844070112,3,"University Of Central Florida, Florida, United States",US,USFL,28.6019,-81.2003,299748,3,"University Of Central Florida, Florida, United States",US,USFL,28.6019,-81.2003,299748,3,"University Of Central Florida, Florida, United States",US,USFL,28.6019,-81.2003,299748,20230103,https://www.theatlantic.com/ideas/archive/2023/01/ron-desantis-florida-critical-race-theory-professors/672507/
1078553345,20230103,202301,2023,2023.0082,EDU,UNIVERSITY,,,,,,EDU,,,USA,UNITED STATES,USA,,,,,,,,0,140,140,14,3,-6.5,2,1,2,-3.71044844070112,3,"Florida State University, Florida, United States",US,USFL,30.4408,-84.2918,305682,2,"Florida, United States",US,USFL,27.8333,-81.717,FL,3,"Florida State University, Florida, United States",US,USFL,30.4408,-84.2918,305682,20230103,https://www.theatlantic.com/ideas/archive/2023/01/ron-desantis-florida-critical-race-theory-professors/672507/
1078553346,20230103,202301,2023,2023.0082,EDUEDU,UNIVERSITY,,,,,,EDU,EDU,,USA,UNITED STATES,USA,,,,,,,,0,140,140,14,3,-6.5,2,1,2,-3.71044844070112,3,"Florida State University, Florida, United States",US,USFL,30.4408,-84.2918,305682,2,"Florida, United States",US,USFL,27.8333,-81.717,FL,3,"Florida State University, Florida, United States",US,USFL,30.4408,-84.2918,305682,20230103,https://www.theatlantic.com/ideas/archive/2023/01/ron-desantis-florida-critical-race-theory-professors/672507/
1078554037,20230103,202301,2023,2023.0082,USAEDU,UNITED STATES,USA,,,,,EDU,,,USA,UNITED STATES,USA,,,,,,,,0,140,140,14,3,-6.5,4,1,4,-3.71044844070112,3,"Florida State University, Florida, United States",US,USFL,30.4408,-84.2918,305682,2,"Florida, United States",US,USFL,27.8333,-81.717,FL,3,"Florida State University, Florida, United States",US,USFL,30.4408,-84.2918,305682,20230103,https://www.theatlantic.com/ideas/archive/2023/01/ron-desantis-florida-critical-race-theory-professors/672507/
1078578000,20230103,202301,2023,2023.0082,EDU,UNIVERSITY,,,,,,EDU,,,USA,UNITED STATES,USA,,,,,,,,0,140,140,14,3,-6.5,2,1,2,-3.45933562428408,3,"Florida State University, Florida, United States",US,USFL,30.4408,-84.2918,305682,3,"Florida State University, Florida, United States",US,USFL,30.4408,-84.2918,305682,3,"Florida State University, Florida, United States",US,USFL,30.4408,-84.2918,305682,20230103,https://www.propublica.org/article/desantis-critical-race-theory-florida-college-professors
