GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
330238867,20150101,201501,2015,2015.0027,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,140,140,14,3,-6.5,4,2,4,0.454545454545454,3,"Virginia State University, Virginia, United States",US,USVA,37.2354,-77.4205,1476202,0,,,,,,,3,"Virginia State University, Virginia, United States",US,USVA,37.2354,-77.4205,1476202,20150101,http://hamptonroads.com/2015/01/virginia-state-university-leader-steps-down-week
330238868,20150101,201501,2015,2015.0027,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,140,140,14,3,-6.5,2,1,2,0.564971751412429,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,0,,,,,,,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,20150101,http://www.washingtonpost.com/local/leadership-change-at-virginia-state-university/2015/01/01/282b7cfc-91d4-11e4-a66f-0ca5037a597d_story.html
330240879,20150101,201501,2015,2015.0027,USA,UNITED STATES,USA,,,,,,,,COP,POLICE,,,,,,COP,,,0,140,140,14,3,-6.5,4,1,4,2.05058099794942,2,"New York, United States",US,USNY,42.1497,-74.9384,NY,2,"New York, United States",US,USNY,42.1497,-74.9384,NY,2,"New York, United States",US,USNY,42.1497,-74.9384,NY,20150101,http://ysnews.com/news/2015/01/walmart-protest-draws-villagers
330271273,20150102,201501,2015,2015.0055,BUS,BUSINESS,,,,,,BUS,,,,,,,,,,,,,1,140,140,14,3,-6.5,5,1,5,1.46198830409357,2,"North Dakota, United States",US,USND,47.5362,-99.793,ND,0,,,,,,,2,"North Dakota, United States",US,USND,47.5362,-99.793,ND,20150102,http://www.foxbusiness.com/markets/2015/01/02/no-one-hurt-in-oil-tanks-fire-south-williston-tanks-being-allowed-to-burn/
330297020,20150102,201501,2015,2015.0055,GOV,PRINCE,,,,,,GOV,,,CVL,CITIZEN,,,,,,CVL,,,1,140,140,14,3,-6.5,5,1,5,1.74418604651163,2,"North Dakota, United States",US,USND,47.5362,-99.793,ND,2,"North Dakota, United States",US,USND,47.5362,-99.793,ND,2,"North Dakota, United States",US,USND,47.5362,-99.793,ND,20150102,http://www.princegeorgecitizen.com/no-one-hurt-in-oil-tanks-fire-south-of-williston-tanks-being-allowed-to-burn-themselves-out-1.1703051
330344812,20150102,201501,2015,2015.0055,USA,AMERICAN,USA,,,,,,,,,,,,,,,,,,0,140,140,14,3,-6.5,8,1,8,1.6602809706258,3,"Oak Cliff, Texas, United States",US,USTX,32.7393,-96.8111,1378776,0,,,,,,,3,"Oak Cliff, Texas, United States",US,USTX,32.7393,-96.8111,1378776,20150102,http://newsblaze.com/story/20091111145435kays.nb/topstory.html
330344813,20150102,201501,2015,2015.0055,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,0,140,140,14,3,-6.5,2,1,2,1.6602809706258,3,"Dallas, Texas, United States",US,USTX,32.7831,-96.8067,1380944,0,,,,,,,3,"Dallas, Texas, United States",US,USTX,32.7831,-96.8067,1380944,20150102,http://newsblaze.com/story/20091111145435kays.nb/topstory.html
330344814,20150102,201501,2015,2015.0055,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,140,140,14,3,-6.5,3,1,3,1.30151843817787,2,"North Dakota, United States",US,USND,47.5362,-99.793,ND,0,,,,,,,2,"North Dakota, United States",US,USND,47.5362,-99.793,ND,20150102,http://www.brandonsun.com/business/breaking-news/no-one-hurt-in-oil-tanks-fire-south-of-williston-tanks-being-allowed-to-burn-themselves-out-287383291.html
330344815,20150102,201501,2015,2015.0055,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,0,140,140,14,3,-6.5,2,1,2,1.16009280742459,2,"Virginia, United States",US,USVA,37.768,-78.2057,VA,0,,,,,,,2,"Virginia, United States",US,USVA,37.768,-78.2057,VA,20150102,http://www.fredericksburg.com/news/va_md_dc/man-charged-with-fatally-stabbing-wife-in-woodbridge/article_1061ed4e-1d71-53d9-8c6a-92c251d3dd1c.html
330352567,20150102,201501,2015,2015.0055,USA,SAN FRANCISCO,USA,,,,,,,,OPP,PROTESTER,,,,,,OPP,,,1,140,140,14,3,-6.5,10,1,10,0.0,3,"San Francisco, California, United States",US,USCA,37.7749,-122.419,277593,3,"San Francisco, California, United States",US,USCA,37.7749,-122.419,277593,3,"San Francisco, California, United States",US,USCA,37.7749,-122.419,277593,20150102,http://sanfrancisco.cbslocal.com/2015/01/02/arrested-black-friday-protesters-say-bart-wants-70000-in-restitution-for-shutdown-call-it-ransom/
