GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED
83634373,20120101,201201,2012,2012.0027,COP,POLICE,,,,,,COP,,,OPP,PROTESTER,,,,,,OPP,,,1,140,140,14,3,-6.5,18,1,18,3.9039039039039,2.0,"New York, United States",US,USNY,42.1497,-74.9384,0.0,2,"New York, United States",US,USNY,42.1497,-74.9384,0.0,2.0,"New York, United States",US,USNY,42.1497,-74.9384,0.0,20130203
83634429,20120101,201201,2012,2012.0027,COP,POLICE,,,,,,COP,,,PTY,PRESIDENTIAL CANDIDATE,,,,,,,,,1,140,140,14,3,-6.5,4,2,4,4.16999891926942,3.0,"Urbandale, Iowa, United States",US,USIA,41.6267,-93.7122,462504.0,3,"Urbandale, Iowa, United States",US,USIA,41.6267,-93.7122,462504.0,3.0,"Urbandale, Iowa, United States",US,USIA,41.6267,-93.7122,462504.0,20130203
83634430,20120101,201201,2012,2012.0027,COP,POLICE,,,,,,COP,,,PTY,PRESIDENTIAL CANDIDATE,,,,,,,,,1,140,140,14,3,-6.5,6,3,6,4.09643981181848,3.0,"Urbandale, Iowa, United States",US,USIA,41.6267,-93.7122,462504.0,2,"Minnesota, United States",US,USMN,45.7326,-93.9196,0.0,3.0,"Urbandale, Iowa, United States",US,USIA,41.6267,-93.7122,462504.0,20130203
83634624,20120101,201201,2012,2012.0027,COP,BORDER PATROL,,,,,,COP,,,USA,UNITED STATES,USA,,,,,,,,1,140,140,14,3,-6.5,2,1,2,5.04201680672269,2.0,"Arizona, United States",US,USAZ,33.7712,-111.388,0.0,3,"Tucson, Arizona, United States",US,USAZ,32.2217,-110.926,43534.0,2.0,"Arizona, United States",US,USAZ,33.7712,-111.388,0.0,20130203
83651601,20120101,201201,2012,2012.0027,OPP,PROTESTER,,,,,,OPP,,,COP,POLICE,,,,,,COP,,,0,140,140,14,3,-6.5,9,1,9,6.48275862068965,3.0,"Los Angeles, California, United States",US,USCA,34.0522,-118.244,1662328.0,3,"Los Angeles, California, United States",US,USCA,34.0522,-118.244,1662328.0,3.0,"Los Angeles, California, United States",US,USCA,34.0522,-118.244,1662328.0,20130203
83651602,20120101,201201,2012,2012.0027,OPP,PROTESTER,,,,,,OPP,,,COP,POLICE,,,,,,COP,,,1,140,140,14,3,-6.5,9,1,9,2.78551532033426,2.0,"New York, United States",US,USNY,42.1497,-74.9384,0.0,2,"New York, United States",US,USNY,42.1497,-74.9384,0.0,2.0,"New York, United States",US,USNY,42.1497,-74.9384,0.0,20130203
83651673,20120101,201201,2012,2012.0027,OPP,PROTESTER,,,,,,OPP,,,GOV,GOVERNMENT,,,,,,GOV,,,0,140,140,14,3,-6.5,7,1,7,5.35279805352798,1.0,United States,US,US,38.0,-97.0,0.0,4,"Manama, Al Manamah, Bahrain",BA,BA02,26.2361,50.5831,-784833.0,1.0,United States,US,US,38.0,-97.0,0.0,20130203
83651863,20120101,201201,2012,2012.0027,OPP,PROTESTER,,,,,,OPP,,,USA,UNITED STATES,USA,,,,,,,,1,140,140,14,3,-6.5,5,1,5,1.60427807486631,3.0,"Urbandale, Iowa, United States",US,USIA,41.6267,-93.7122,462504.0,3,"Des Moines, Iowa, United States",US,USIA,41.6005,-93.6091,465961.0,3.0,"Urbandale, Iowa, United States",US,USIA,41.6267,-93.7122,462504.0,20130203
83651864,20120101,201201,2012,2012.0027,OPP,PROTESTER,,,,,,OPP,,,USA,IOWA,USA,,,,,,,,1,140,140,14,3,-6.5,4,1,4,1.60427807486631,3.0,"Urbandale, Iowa, United States",US,USIA,41.6267,-93.7122,462504.0,2,"Iowa, United States",US,USIA,42.0046,-93.214,0.0,3.0,"Urbandale, Iowa, United States",US,USIA,41.6267,-93.7122,462504.0,20130203
83651865,20120101,201201,2012,2012.0027,OPP,PROTESTER,,,,,,OPP,,,USA,NEW YORK,USA,,,,,,,,1,140,140,14,3,-6.5,6,2,6,5.01402373247033,2.0,"New York, United States",US,USNY,42.1497,-74.9384,0.0,2,"New York, United States",US,USNY,42.1497,-74.9384,0.0,2.0,"New York, United States",US,USNY,42.1497,-74.9384,0.0,20130203
