GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
281510593,20140101,201401,2014,2014.0027,TUR,TURKEY,TUR,,,,,,,,,,,,,,,,,,1,140,140,14,3,-6.5,10,1,10,3.6231884057971,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,0,,,,,,,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,20140101,"Zaman website, Istanbul/BBC Monitoring/(c) BBC"
281515425,20140101,201401,2014,2014.0027,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,140,140,14,3,-6.5,2,1,2,1.62037037037037,3,"Upper Providence, Pennsylvania, United States",US,USPA,39.9551,-75.423,1197544,0,,,,,,,3,"Upper Providence, Pennsylvania, United States",US,USPA,39.9551,-75.423,1197544,20140101,http://www.montgomerynews.com/articles/2014/01/01/montgomery_life/news/doc52bf474daec4c535908240.txt
281515426,20140101,201401,2014,2014.0027,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,140,140,14,3,-6.5,10,1,10,1.62037037037037,3,"Valley Park, Pennsylvania, United States",US,USPA,40.1093,-75.1052,1207721,0,,,,,,,3,"Valley Park, Pennsylvania, United States",US,USPA,40.1093,-75.1052,1207721,20140101,http://www.montgomerynews.com/articles/2014/01/01/montgomery_life/news/doc52bf474daec4c535908240.txt
281515427,20140101,201401,2014,2014.0027,USA,ALASKA,USA,,,,,,,,,,,,,,,,,,1,140,140,14,3,-6.5,10,1,10,3.6231884057971,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,0,,,,,,,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,20140101,"Zaman website, Istanbul/BBC Monitoring/(c) BBC"
281518684,20140101,201401,2014,2014.0027,USA,ALASKA,USA,,,,,,,,GOV,GOVERNMENT,,,,,,GOV,,,1,140,140,14,3,-6.5,8,1,8,3.6231884057971,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,4,"Burdur, Burdur, Turkey",TU,TU15,37.7203,30.2908,-740445,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,20140101,"Zaman website, Istanbul/BBC Monitoring/(c) BBC"
281518685,20140101,201401,2014,2014.0027,USA,ALASKA,USA,,,,,,,,GOV,GOVERNMENT,,,,,,GOV,,,1,140,140,14,3,-6.5,2,1,2,3.6231884057971,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,20140101,"Zaman website, Istanbul/BBC Monitoring/(c) BBC"
281591857,20140102,201401,2014,2014.0055,LAB,WORKER,,,,,,LAB,,,HIN,HINDU,,,,HIN,,,,,1,140,140,14,3,-6.5,4,1,4,0.854700854700855,2,"Idaho, United States",US,USID,44.2394,-114.51,ID,2,"Idaho, United States",US,USID,44.2394,-114.51,ID,2,"Idaho, United States",US,USID,44.2394,-114.51,ID,20140102,http://www.thehindu.com/news/cities/Delhi/dmrcs-contract-workers-protest-outside-cms-house/article5529468.ece
281594491,20140102,201401,2014,2014.0055,LEG,LEGISLATURE,,,,,,LEG,,,OPP,PROTESTER,,,,,,OPP,,,0,140,140,14,3,-6.5,40,4,40,3.79709920489771,3,"Raleigh, North Carolina, United States",US,USNC,35.7721,-78.6386,1024242,3,"Raleigh, North Carolina, United States",US,USNC,35.7721,-78.6386,1024242,3,"Raleigh, North Carolina, United States",US,USNC,35.7721,-78.6386,1024242,20140102,http://www.dailyadvance.com/ap/staten/correction-democrats-2014-story-2257337
281604903,20140102,201401,2014,2014.0055,OPP,PROTESTER,,,,,,OPP,,,ISRMIL,ISRAEL,ISR,,,,,MIL,,,1,140,140,14,3,-6.5,4,2,4,1.19047619047619,1,United States,US,US,38.0,-97.0,US,1,United States,US,US,38.0,-97.0,US,1,United States,US,US,38.0,-97.0,US,20140102,http://www.philippinetimes.com/index.php/sid/219421796/scat/2411cd3571b4f088
281624342,20140102,201401,2014,2014.0055,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,140,140,14,3,-6.5,2,1,2,1.62037037037037,3,"Upper Providence, Pennsylvania, United States",US,USPA,39.9551,-75.423,1197544,0,,,,,,,3,"Upper Providence, Pennsylvania, United States",US,USPA,39.9551,-75.423,1197544,20140102,http://www.montgomerynews.com/articles/2014/01/02/montgomery_life/news/doc52bf474daec4c535908240.txt
