Decade,Theme,Count,Rank
1900,Landscapes,424,1.0
1900,Architecture,318,2.0
1900,Portraits,250,3.0
1910,Landscapes,322,1.0
1910,Architecture,278,2.0
1910,Botanical study,186,3.0
1920,Architecture,308,1.0
1920,Landscapes,305,2.0
1920,Botanical study,269,3.0
1930,Landscapes,251,1.0
1930,Architecture,191,2.0
1930,Botanical study,154,3.0
1940,Landscapes,103,1.0
1940,Architecture,92,2.0
1940,Occupations,85,3.0
1950,Landscapes,9,1.0
1950,Architecture,8,2.0
1950,Figure group,6,3.0
1960,Landscapes,24,1.0
1960,Architecture,22,2.0
1960,Domestic,13,3.0
1970,Animals,13,1.0
1970,Architecture,9,2.0
1970,Figure group,6,3.0
1980,Portraits,32,1.0
1980,Men,22,2.0
1980,Animals,17,3.0
1990,Animals,14,1.0
1990,Architecture,12,2.0
1990,Clothing and dress,8,3.0
2000,Men,3,1.0
2000,Portraits,3,2.0
2000,Architecture,2,3.0
2010,"Bible, N.T.",1,1.0
2010,Checkers,1,2.0
2010,Children,1,3.0
